,magnitude,depth
0,4.9,24.14
1,4.4,120.05
2,3.6,10.0
3,3.5,19.99
4,4.8,39.81
5,5.1,37.11
6,4.8,35.0
7,2.9,1.8
8,2.6,171.5
9,4.0,406.74
10,2.51,7.46
11,3.8,43.27
12,2.46,59.0
13,4.6,35.0
14,2.72,84.0
15,2.87,38.0
16,2.9,8.4
17,2.6,11.2
18,2.8,0.0
19,4.5,10.0
20,2.6,2.24
21,2.75,8.55
22,4.4,10.0
23,4.5,10.0
24,2.9,0.0
25,2.5,13.2
26,4.8,46.47
27,4.49,0.76
28,3.32,6.01
29,4.4,65.0
30,4.2,10.0
31,4.4,73.44
32,4.6,10.0
33,3.8,5.0
34,4.8,10.0
35,4.5,38.92
36,5.9,10.0
37,2.7,5.0
38,2.61,15.59
39,4.4,44.05
40,4.8,103.59
41,4.0,66.25
42,2.71,10.0
43,2.52,-0.45
44,3.44,33.0
45,3.43,72.0
46,2.97,61.0
47,4.6,10.0
48,2.89,7.0
49,2.8,5.0
50,4.6,10.0
51,2.5,5.0
52,2.8,5.7
53,2.6,0.1
54,3.38,60.0
55,2.9,58.0
56,2.59,5.74
57,4.4,231.68
58,4.6,79.92
59,4.2,76.64
60,2.98,6.53
61,2.54,74.0
62,2.82,23.4
63,4.9,66.28
64,3.09,3.43
65,4.2,16.58
66,2.9,0.5
67,4.9,10.0
68,5.4,10.0
69,2.8,20.91
70,2.8,0.0
71,3.4,19.76
72,2.5,14.0
73,2.7,2.2
74,4.3,152.27
75,2.58,48.0
76,4.5,16.49
77,3.8,89.43
78,2.48,12.66
79,2.73,9.21
80,2.8,35.7
81,4.5,10.0
82,2.85,6.09
83,4.3,35.0
84,4.2,208.06
85,4.4,34.91
86,2.5,184.9
87,2.71,98.0
88,3.5,10.0
89,3.2,38.0
90,2.6,0.0
91,2.87,10.24
92,5.5,10.9
93,2.7,5.42
94,5.6,14.75
95,2.7,13.5
96,4.9,121.54
97,2.99,57.0
98,5.3,10.0
99,2.7,15.3
100,2.58,67.0
101,4.1,10.0
102,4.8,10.0
103,4.3,10.0
104,2.8,53.2
105,2.8,5.0
106,3.06,12.0
107,2.84,24.65
108,4.3,10.0
109,2.94,24.0
110,3.1,34.91
111,2.82,42.0
112,4.6,165.11
113,4.5,10.0
114,2.9,0.0
115,4.9,10.0
116,3.79,19.5
117,2.49,8.0
118,3.35,31.0
119,6.0,10.0
120,2.57,6.96
121,5.2,69.04
122,2.61,8.94
123,2.93,19.0
124,3.9,35.0
125,2.5,10.0
126,3.2,32.4
127,4.5,10.0
128,2.8,10.0
129,3.1,0.0
130,4.8,12.12
131,2.78,4.0
132,4.6,558.63
133,4.8,507.97
134,5.2,13.56
135,2.47,4.89
136,3.2,7.96
137,3.7,10.0
138,4.4,42.55
139,4.6,99.41
140,4.2,26.72
141,2.8,17.8
142,4.8,342.06
143,2.5,19.6
144,2.6,69.0
145,2.7,37.1
146,4.2,114.94
147,4.4,145.38
148,4.9,35.0
149,7.0,257.42
150,2.56,105.0
151,4.7,35.0
152,2.6,14.7
153,2.8,20.11
154,3.1,37.9
155,4.0,10.0
156,3.3,19.35
157,2.61,23.0
158,4.8,10.0
159,3.0,10.0
160,2.45,26.95
161,4.2,10.0
162,3.3,10.0
163,2.5,0.0
164,4.5,35.0
165,2.7,18.3
166,2.7,4.0
167,4.5,200.06
168,2.9,0.3
169,5.8,10.0
170,5.2,181.47
171,4.0,189.55
172,2.55,44.72
173,2.9,4.8
174,3.1,5.0
175,5.5,573.63
176,2.68,75.0
177,3.2,10.0
178,2.62,8.94
179,2.8,3.5
180,4.6,141.81
181,4.8,151.47
182,4.9,10.0
183,5.1,10.0
184,4.8,23.88
185,4.6,41.72
186,2.8,23.76
187,2.6,23.83
188,3.0,1.3
189,3.5,10.0
190,4.4,44.28
191,2.81,93.0
192,3.6,5.72
193,4.8,30.05
194,2.67,5.41
195,4.5,10.0
196,2.9,0.0
197,2.87,23.53
198,3.1,5.0
199,2.8,5.2
200,3.14,57.0
201,3.22,16.0
202,3.58,57.0
203,2.89,6.24
204,4.4,109.93
205,4.4,10.0
206,4.4,10.0
207,2.82,2.38
208,4.7,10.0
209,2.87,63.0
210,4.5,96.01
211,4.7,10.0
212,4.6,186.85
213,2.84,101.0
214,3.8,16.14
215,2.9,85.0
216,3.4,5.0
217,2.52,24.0
218,4.5,119.63
219,3.3,14.8
220,4.7,37.78
221,4.4,142.7
222,2.5,7.79
223,5.0,114.15
224,2.7,77.0
225,5.4,10.0
226,2.9,10.0
227,2.53,13.9
228,3.4,10.0
229,2.6,0.0
230,2.8,0.0
231,2.5,0.0
232,4.5,10.0
233,4.6,10.0
234,4.5,189.12
235,3.2,6.5
236,4.5,10.0
237,4.1,10.0
238,4.5,36.92
239,2.5,17.6
240,2.8,6.4
241,3.03,54.0
242,2.53,2.34
243,5.0,10.0
244,5.0,165.79
245,2.82,96.0
246,4.5,10.0
247,4.5,65.56
248,4.5,35.0
249,3.2,38.0
250,3.3,10.0
251,5.1,10.0
252,2.79,82.0
253,4.9,587.18
254,3.2,7.5
255,5.0,29.06
256,4.8,111.16
257,3.8,1.61
258,4.0,10.0
259,3.39,18.0
260,2.5,16.0
261,3.01,16.46
262,2.8,13.3
263,4.8,10.0
